price,bathrooms,bedrooms,listing_type,area_sqft,zip_code
374900.0,1.0,0.0,1,744.0,92101
269900.0,1.0,0.0,1,480.0,92026
509000.0,1.0,0.0,1,519.0,95110
279900.0,1.0,0.0,4,311.0,92101
99900.0,1.0,0.0,3,240.0,92024
109500.0,1.0,0.0,3,240.0,92024
575000.0,1.0,0.0,1,750.0,95113
324999.0,1.0,0.0,1,462.0,92101
580000.0,1.0,0.0,1,683.0,95113
400000.0,1.0,0.0,1,718.0,92101
329999.0,1.0,0.0,1,461.0,92103
419000.0,1.0,1.0,1,535.0,92103
416000.0,1.0,1.0,1,658.0,95128
514888.0,1.0,1.0,1,845.0,92101
579950.0,1.0,1.0,1,808.0,95126
69900.0,1.0,1.0,3,756.0,92027
219000.0,1.0,1.0,4,378.0,92104
99500.0,1.0,1.0,3,729.0,92025
414900.0,1.0,1.0,1,671.0,92101
160000.0,1.0,1.0,3,379.0,92024
399000.0,1.0,1.0,1,816.0,92110
565000.0,1.0,1.0,0,700.0,92109
515000.0,1.0,1.0,1,665.0,95110
400000.0,1.0,1.0,1,831.0,92128
599000.0,1.0,1.0,1,876.0,95110
398000.0,1.0,1.0,0,1050.0,92128
565000.0,1.0,1.0,1,748.0,92130
520000.0,1.0,1.0,1,708.0,92014
265000.0,1.0,1.0,1,551.0,92105
599800.0,1.0,1.0,1,719.0,95131
490000.0,1.0,1.0,1,870.0,92101
470000.0,1.0,1.0,1,736.0,95122
469000.0,1.0,1.0,1,658.0,95128
335000.0,1.0,1.0,1,604.0,92126
379000.0,1.0,1.0,1,667.0,92101
420000.0,2.0,1.0,1,842.0,92009
454995.0,1.0,1.0,1,704.0,92122
449500.0,1.0,1.0,1,1035.0,92101
469000.0,1.0,1.0,1,788.0,92101
144400.0,1.0,1.0,3,550.0,92024
424900.0,1.0,1.0,1,726.0,92101
349000.0,1.0,1.0,0,664.0,92108
430000.0,1.0,1.0,0,704.0,92122
699000.0,1.0,1.0,1,953.0,95110
599000.0,1.0,1.0,1,663.0,95110
795000.0,1.0,1.0,1,736.0,95128
869900.0,1.0,1.0,1,697.0,92109
359900.0,1.0,1.0,1,551.0,92116
525000.0,1.0,1.0,1,845.0,92101
419000.0,1.0,1.0,1,658.0,95128
449000.0,1.0,1.0,1,544.0,95117
645000.0,2.0,1.0,1,821.0,92101
489000.0,1.0,1.0,1,704.0,92122
448000.0,1.0,1.0,1,724.0,95135
147000.0,1.0,1.0,3,546.0,95116
779000.0,1.0,1.0,1,819.0,95110
425000.0,1.0,1.0,1,814.0,92128
545000.0,1.0,1.0,1,733.0,95110
539000.0,1.0,1.0,1,713.0,92037
199999.0,1.0,1.0,3,624.0,92026
264900.0,1.0,1.0,1,558.0,92115
536000.0,1.0,1.0,1,638.0,92130
668000.0,1.0,1.0,1,899.0,95113
475000.0,2.0,1.0,4,756.0,92027
424900.0,1.0,1.0,4,756.0,92101
1245000.0,1.0,1.0,1,812.0,92014
225000.0,1.0,1.0,3,900.0,92024
329000.0,1.0,1.0,1,530.0,92108
289900.0,1.0,1.0,1,431.0,92101
465000.0,1.0,1.0,1,735.0,92101
365000.0,1.0,1.0,1,675.0,92108
529000.0,1.0,1.0,1,621.0,95110
164999.0,1.0,1.0,3,480.0,95125
975000.0,1.0,1.0,4,688.0,95127
470000.0,1.0,1.0,4,661.0,92101
39950.0,1.0,1.0,3,373.0,95138
588888.0,2.0,1.0,1,810.0,95113
272250.0,1.0,1.0,1,650.0,92105
525000.0,1.0,1.0,4,684.0,92104
449000.0,1.0,1.0,1,535.0,92122
485000.0,1.0,1.0,1,765.0,92109
340000.0,1.0,1.0,1,616.0,92108
570000.0,1.0,1.0,1,914.0,95110
479000.0,1.0,1.0,1,807.0,92101
275000.0,1.0,1.0,1,550.0,92115
399000.0,1.0,1.0,1,692.0,92122
59900.0,1.0,1.0,3,355.0,95138
375000.0,1.0,1.0,1,620.0,92104
490000.0,1.0,1.0,1,744.0,95123
149500.0,1.0,1.0,3,480.0,92024
599000.0,1.0,1.0,4,675.0,92116
435000.0,1.0,1.0,1,554.0,92122
360000.0,1.0,1.0,1,594.0,92102
589000.0,2.0,1.0,1,1207.0,92009
649900.0,2.0,1.0,1,1273.0,92101
329900.0,1.0,1.0,1,640.0,92116
548000.0,2.0,1.0,1,1004.0,95122
400000.0,1.0,1.0,1,641.0,92103
445000.0,2.0,1.0,1,854.0,92110
