,price,bathrooms,bedrooms,area,zestimate,rent_zestimate,listing_type
2372,1450000.0,3.0,4.0,2186.0 ,1512938.0,3981.0,House for sale
2375,999990.0,3.0,3.0,2501.0 ,999993.0,5769.0,Condo for sale
2377,789000.0,2.0,2.0,986.0 ,816662.0,2648.0,Condo for sale
2381,980000.0,2.0,4.0,1353.0 ,1026300.0,3624.0,House for sale
2394,370000.0,1.0,2.0,738.0 ,389600.0,2013.0,Condo for sale
2399,578000.0,1.0,2.0,938.0 ,601400.0,2449.0,House for sale
2400,1800000.0,1.0,3.0,924.0 ,1800000.0,3200.0,House for sale
2408,799000.0,2.0,3.0,1461.0 ,799002.0,3273.0,House for sale
2415,599000.0,3.0,2.0,1334.0 ,657200.0,3058.0,Condo for sale
2419,1195000.0,3.0,3.0,2984.0 ,1049900.0,4440.0,Coming soon
2424,699999.0,2.0,3.0,1267.0 ,697200.0,2999.0,Condo for sale
2425,2196000.0,4.0,5.0,3532.0 ,2262900.0,7358.0,House for sale
2432,232500.0,2.0,2.0,1145.0 ,192800.0,3340.0,Coming soon
2433,16000000.0,5.0,5.0,2392.0 ,15508900.0,52039.0,House for sale
2434,1298000.0,3.0,3.0,1848.0 ,1375424.0,3668.0,House for sale
2437,720000.0,3.0,3.0,1330.0 ,762231.0,3249.0,Townhouse for sale
2443,9995000.0,5.0,4.0,4880.0 ,9325300.0,31370.0,House for sale
2450,1295000.0,2.0,4.0,1536.0 ,1368400.0,3764.0,House for sale
2456,890000.0,2.0,2.0,876.0 ,915400.0,2981.0,Condo for sale
2457,3907000.0,5.0,5.0,3552.0 ,3867200.0,6591.0,New construction
2458,185000.0,1.0,2.0,950.0 ,199400.0,2834.0,Home for sale
2459,1895000.0,5.0,5.0,3590.0 ,1987400.0,6499.0,House for sale
2462,825000.0,3.0,5.0,1960.0 ,829100.0,3495.0,House for sale
2463,525000.0,2.0,2.0,899.0 ,527300.0,2329.0,Coming soon
2464,998000.0,2.0,2.0,984.0 ,1027800.0,2586.0,House for sale
2465,725000.0,1.0,2.0,1042.0 ,731600.0,2627.0,House for sale
2469,15950000.0,8.0,6.0,6100.0 ,15319300.0,28924.0,House for sale
2470,795000.0,2.0,3.0,1043.0 ,841026.0,3344.0,House for sale
2477,4395000.0,4.0,3.0,3376.0 ,4321600.0,14568.0,Condo for sale
2478,1200000.0,3.0,4.0,1941.0 ,869200.0,3913.0,Coming soon
2481,799000.0,2.0,3.0,1161.0 ,803700.0,3499.0,House for sale
2485,245000.0,2.0,2.0,992.0 ,247800.0,1957.0,Home for sale
2494,895000.0,2.0,4.0,1500.0 ,921100.0,3671.0,House for sale
2497,264900.0,1.0,1.0,558.0 ,255900.0,1694.0,Condo for sale
2502,689000.0,2.0,2.0,1208.0 ,699200.0,2990.0,Condo for sale
2504,540900.0,2.0,2.0,1054.0 ,552118.0,2434.0,House for sale
2505,799800.0,2.0,2.0,1421.0 ,846667.0,3149.0,Condo for sale
2509,1749000.0,3.0,2.0,1375.0 ,1321800.0,3668.0,Condo for sale
2512,536000.0,1.0,1.0,638.0 ,556700.0,2300.0,Condo for sale
2513,1790000.0,3.0,3.0,2838.0 ,1663900.0,7474.0,House for sale
2514,535000.0,2.0,2.0,918.0 ,554456.0,2400.0,Condo for sale
2517,2798000.0,5.0,6.0,3820.0 ,2798000.0,7810.0,House for sale
2519,600000.0,2.0,4.0,1302.0 ,610100.0,2999.0,Townhouse for sale
2521,929000.0,2.0,3.0,1653.0 ,831900.0,3428.0,House for sale
2523,1595000.0,3.0,4.0,1930.0 ,1239500.0,4657.0,House for sale
2537,2000000.0,2.0,3.0,1785.0 ,2035900.0,4847.0,House for sale
2538,650000.0,2.0,3.0,1479.0 ,612500.0,2973.0,House for sale
2540,399999.0,2.0,2.0,973.0 ,394200.0,2263.0,Condo for sale
2544,1275000.0,3.0,4.0,1931.0 ,1357686.0,3980.0,House for sale
2546,1345000.0,2.0,2.0,1149.0 ,1406340.0,3284.0,Townhouse for sale
2549,1600000.0,3.0,4.0,2736.0 ,1747442.0,4495.0,House for sale
2550,170000.0,2.0,2.0,1200.0 ,173200.0,3345.0,Home for sale
2551,1925000.0,2.0,3.0,2224.0 ,2018100.0,6145.0,House for sale
2555,668000.0,1.0,1.0,899.0 ,658429.0,2664.0,Condo for sale
2558,249900.0,2.0,2.0,972.0 ,250400.0,2780.0,House for sale
2562,174900.0,2.0,2.0,860.0 ,179502.0,2149.0,Home for sale
2575,568000.0,2.0,2.0,1024.0 ,602136.0,2695.0,Condo for sale
2578,619000.0,2.0,3.0,1188.0 ,758600.0,2995.0,Townhouse for sale
2583,750000.0,2.0,2.0,1008.0 ,722600.0,2749.0,House for sale
2586,849000.0,3.0,4.0,2315.0 ,870200.0,3597.0,House for sale
2588,1450000.0,2.0,3.0,1248.0 ,1365600.0,3699.0,House for sale
2590,994900.0,3.0,4.0,1796.0 ,1020900.0,3595.0,House for sale
2592,1990000.0,2.0,4.0,1857.0 ,2548400.0,4464.0,House for sale
2594,650000.0,2.0,4.0,1475.0 ,636600.0,2999.0,Coming soon
2596,1199900.0,3.0,3.0,1992.0 ,1240322.0,3617.0,House for sale
2598,937000.0,2.0,3.0,1007.0 ,1030754.0,3314.0,House for sale
2603,247000.0,2.0,2.0,880.0 ,247000.0,2731.0,Home for sale
2613,1199000.0,3.0,4.0,2524.0 ,1223900.0,3524.0,House for sale
2614,660000.0,3.0,2.0,1411.0 ,679000.0,2999.0,Condo for sale
2631,649888.0,3.0,4.0,1555.0 ,654300.0,3075.0,House for sale
2644,1595000.0,3.0,3.0,1630.0 ,1672100.0,3858.0,House for sale
2646,959000.0,2.0,3.0,1634.0 ,990900.0,3134.0,New construction
